id,label
0,0
1,2
2,1
3,0
4,1
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,1
21,1
22,0
23,1
24,1
25,0
26,0
27,1
28,2
29,1
30,0
31,0
32,0
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,0
48,1
49,0
50,1
51,0
52,1
53,2
54,1
55,1
56,1
57,0
58,1
59,1
60,0
61,1
62,0
63,1
64,0
65,0
66,0
67,1
68,0
69,0
70,0
71,1
72,0
73,0
74,1
75,1
76,0
77,1
78,1
79,0
80,0
81,0
82,1
83,0
84,1
85,0
86,0
87,2
88,1
89,0
90,0
91,0
92,0
93,2
94,0
95,0
96,0
97,2
98,1
99,1
100,2
101,0
102,0
103,0
104,0
105,1
106,0
107,1
108,1
109,0
110,0
111,0
112,1
113,0
114,1
115,0
116,0
117,2
118,1
119,1
120,1
121,1
122,0
123,0
124,1
125,1
126,0
127,1
128,0
129,1
130,1
131,1
132,0
133,0
134,0
135,0
136,0
137,1
138,1
139,1
140,0
141,0
142,0
143,0
144,0
145,1
146,1
147,1
148,0
149,0
150,1
151,0
152,0
153,1
154,0
155,1
156,0
157,2
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,1
166,1
167,1
168,2
169,0
170,1
171,0
172,0
173,0
174,1
175,1
176,1
177,1
178,1
179,0
180,1
181,0
182,1
183,0
184,2
185,0
186,0
187,1
188,0
189,1
190,2
191,0
192,1
193,1
194,0
195,0
196,1
197,0
198,0
199,0
200,2
201,0
202,0
203,0
204,1
205,0
206,0
207,1
208,0
209,0
210,1
211,1
212,0
213,0
214,1
215,0
216,2
217,1
218,0
219,1
220,0
221,1
222,0
223,0
224,0
225,0
226,0
227,1
228,0
229,1
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,1
239,1
240,0
241,0
242,1
243,0
244,0
245,1
246,0
247,1
248,0
249,0
250,0
251,1
252,0
253,0
254,1
255,1
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,1
264,0
265,1
266,0
267,0
268,1
269,1
270,0
271,1
272,0
273,0
274,0
275,1
276,1
277,1
278,0
279,0
280,0
281,0
282,1
283,0
284,0
285,0
286,0
287,1
288,0
289,2
290,0
291,0
292,0
293,0
294,0
295,0
296,1
297,0
298,1
299,0
300,0
301,1
302,1
303,2
304,1
305,1
306,1
307,0
308,0
309,0
310,1
311,1
312,1
313,1
314,0
315,0
316,0
317,0
318,1
319,1
320,1
321,1
322,0
323,0
324,1
325,0
326,0
327,2
328,1
329,1
330,0
331,0
332,0
333,1
334,0
335,0
336,0
337,0
338,1
339,1
340,0
341,1
342,1
343,1
344,0
345,1
346,1
347,0
348,0
349,1
350,0
351,0
352,1
353,0
354,0
355,0
356,0
357,0
358,2
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,1
370,0
371,1
372,1
373,0
374,0
375,0
376,1
377,0
378,1
379,0
380,0
381,1
382,1
383,0
384,0
385,0
386,1
387,0
388,0
389,0
390,0
391,1
392,1
393,0
394,1
395,0
396,0
397,0
398,2
399,1
400,1
401,0
402,1
403,0
404,0
405,0
406,2
407,0
408,0
409,2
410,0
411,0
412,1
413,0
414,0
415,0
416,1
417,0
418,0
419,0
420,1
421,0
422,0
423,2
424,0
425,0
426,0
427,1
428,2
429,0
430,0
431,0
432,1
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,1
444,0
445,2
446,0
447,0
448,0
449,1
450,1
451,1
452,0
453,0
454,0
455,0
456,0
457,0
458,1
459,2
460,0
461,1
462,0
463,1
464,0
465,0
466,1
467,0
468,0
469,0
470,0
471,1
472,0
473,2
474,0
475,0
476,0
477,0
478,1
479,0
480,1
481,0
482,1
483,0
484,0
485,1
486,1
487,0
488,1
489,0
490,0
491,0
492,0
493,1
494,0
495,0
496,0
497,1
498,0
499,0
500,0
501,0
502,0
503,0
504,1
505,0
506,1
507,2
508,0
509,0
510,1
511,0
512,0
513,1
514,0
515,0
516,2
517,1
518,0
519,1
520,1
521,0
522,0
523,1
524,0
525,0
526,1
527,0
528,0
529,0
530,1
531,0
532,0
533,0
534,2
535,0
536,0
537,1
538,1
539,0
540,0
541,0
542,1
543,2
544,1
545,1
546,0
547,1
548,1
549,0
550,0
551,0
552,0
553,1
554,1
555,0
556,0
557,0
558,1
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,1
570,0
571,1
572,1
573,1
574,0
575,0
576,0
577,0
578,1
579,1
580,0
581,1
582,1
583,0
584,2
585,0
586,1
587,0
588,1
589,2
590,0
591,0
592,1
593,0
594,0
595,0
596,0
597,0
598,0
599,1
600,1
601,0
602,1
603,1
604,1
605,0
606,1
607,1
608,1
609,0
610,0
611,0
612,0
613,1
614,2
615,0
616,0
617,1
618,1
619,0
620,0
621,2
622,0
623,1
624,0
625,0
626,1
627,1
628,1
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,1
638,1
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,1
647,1
648,1
649,0
650,0
651,0
652,2
653,0
654,1
655,2
656,2
657,0
658,0
659,1
660,0
661,0
662,0
663,0
664,2
665,0
666,1
667,1
668,2
669,1
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,1
680,0
681,1
682,0
683,1
684,0
685,1
686,0
687,1
688,0
689,1
690,0
691,0
692,0
693,1
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,1
703,2
704,1
705,0
706,0
707,1
708,0
709,1
710,0
711,0
712,0
713,0
714,1
715,1
716,2
717,0
718,0
719,1
720,0
721,1
722,0
723,0
724,1
725,1
726,0
727,1
728,0
729,2
730,0
731,1
732,0
733,1
734,0
735,1
736,1
737,1
738,1
739,0
740,0
741,1
742,0
743,1
744,1
745,0
746,0
747,1
748,1
749,0
750,1
751,0
752,0
753,0
754,1
755,1
756,0
757,0
758,0
759,0
760,0
761,2
762,1
763,0
764,0
765,2
766,0
767,0
768,1
769,0
770,1
771,0
772,0
773,0
774,2
775,0
776,0
777,0
778,0
779,0
780,0
781,2
782,0
783,1
784,1
785,0
786,0
787,0
788,1
789,2
790,1
791,0
792,0
793,1
794,0
795,1
796,1
797,0
798,0
799,1
800,1
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,1
813,1
814,0
815,2
816,0
817,0
818,2
819,2
820,0
821,0
822,0
823,1
824,0
825,0
826,0
827,0
828,0
829,2
830,0
831,1
832,1
833,1
834,0
835,1
836,0
837,1
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,1
846,1
847,0
848,0
849,1
850,0
851,1
852,1
853,2
854,1
855,0
856,0
857,2
858,1
859,1
860,1
861,1
862,1
863,0
864,2
865,1
866,1
867,0
868,1
869,0
870,0
871,1
872,0
873,0
874,0
875,0
876,1
877,1
878,0
879,0
880,0
881,1
882,1
883,0
884,0
885,1
886,0
887,1
888,1
889,1
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,1
898,0
899,1
900,0
901,1
902,0
903,0
904,0
905,1
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,1
916,0
917,0
918,2
919,0
920,0
921,1
922,0
923,0
924,1
925,1
926,1
927,0
928,0
929,0
930,0
931,1
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,2
943,1
944,0
945,1
946,1
947,1
948,0
949,0
950,0
951,2
952,1
953,2
954,1
955,0
956,0
957,1
958,0
959,0
960,0
961,1
962,0
963,1
964,0
965,1
966,0
967,0
968,2
969,1
970,1
971,0
972,0
973,0
974,0
975,0
976,0
977,1
978,0
979,1
980,0
981,0
982,1
983,0
984,0
985,1
986,1
987,0
988,1
989,0
990,1
991,1
992,0
993,2
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,1
1002,0
1003,2
1004,1
1005,2
1006,1
1007,1
1008,1
1009,0
1010,1
1011,1
1012,0
1013,1
1014,0
1015,1
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,1
1024,0
1025,0
1026,0
1027,2
1028,0
1029,1
1030,1
1031,0
1032,1
1033,1
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,1
1046,0
1047,0
1048,0
1049,1
1050,1
1051,0
1052,0
1053,1
1054,0
1055,1
1056,0
1057,1
1058,0
1059,2
1060,0
1061,1
1062,0
1063,1
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,1
1072,0
1073,0
1074,0
1075,1
1076,0
1077,1
1078,1
1079,1
1080,0
1081,1
1082,1
1083,1
1084,1
1085,1
1086,0
1087,1
1088,1
1089,1
1090,1
1091,1
1092,1
1093,0
1094,1
1095,0
1096,1
1097,1
1098,0
1099,0
1100,1
1101,1
1102,2
1103,1
1104,0
1105,1
1106,1
1107,2
1108,1
1109,0
1110,0
1111,0
1112,1
1113,0
1114,0
1115,0
1116,0
1117,1
1118,2
1119,1
1120,1
1121,1
1122,1
1123,0
1124,0
1125,1
1126,1
1127,1
1128,1
1129,1
1130,0
1131,1
1132,1
1133,0
1134,0
1135,0
1136,0
1137,2
1138,0
1139,0
1140,0
1141,0
1142,0
1143,1
1144,0
1145,0
1146,0
1147,0
1148,1
1149,1
1150,1
1151,0
1152,0
1153,0
1154,0
